Field_1,Field_2,Field_3
Exercise No.,Topic of the Exercise,Page No.
1.1.01,Introduction to Engineering Drawing and Drawing Instruments,1
1.1.02,Introduction to engineering drawing and drawing instruments,4
1.1.03,Conventions,5
1.1.04,Sizes and layout of drawing sheets,7
1.1.05,"Title block, its position and content",11
1.2.06,Drawing instruments,16
1.2.07,Lines and Free hand drawing,22
1.2.08,Lines - Types and applications in drawing,25
1.2.09,Free hand drawing of - Geometrical figures and block with dimension,29
1.3.10,Free hand drawing of - Transferring measurement from the given object to,35
1.3.11,the free hand sketches,38
1.3.12,Free hand drawing of hand tools and measuring tools,40
1.3.13,Drawing,42
1.3.14,Drawing of angle & triangle,46
1.3.15,Drawing of circle,50
1.3.16,"Drawing of square, rectangle and parallelogram",52
1.4.17,Drawing of ellipse & parabola,57
1.4.18,Drawing of lettering and numbering - Single stroke,58
1.4.19,Drawing of development of surfaces - Introduction,60
1.5.20,Drawing of development of surfaces - Procedure,63
1.5.21,Dimensioning,66
1.5.22,Dimensioning - Types of arrow heads and leader line with text,72
1.6.20,"Dimensioning - Position of dimensioning (aligned, unidirectional)",74
1.7.21,Practice of dimensioning,77
,Concept and Reading of Drawing,
,Concept and reading of drawing in - Concept of axes plane and quadrant,
,Concept and reading of drawing in - Concept of orthographic projection and,
,isometric projection,
,Method of 1st angle and 3rd angle projections (Definition and difference),
,Symbolic Representation,
,Symbolic representaion - Different symbols used in the sheet metal trade,
,Reading of Job drawing of related trades,
,Reading of job drawing related to sheet metal trade,
